,Mean,SD,p2.5,p5,p25,p50,p75,p95,p97.5,fish_code,source
1,0.061,0.063,0.001,0.002,0.015,0.038,0.085,0.203,0.239,AF1,Co
2,0.071,0.085,0.001,0.003,0.016,0.04,0.091,0.273,0.335,AF10,Co
3,0.042,0.039,0.001,0.002,0.012,0.03,0.06,0.122,0.146,AF11,Co
4,0.043,0.039,0.001,0.002,0.012,0.031,0.062,0.128,0.144,AF12,Co
5,0.042,0.038,0.001,0.002,0.012,0.03,0.061,0.122,0.141,AF13,Co
6,0.048,0.044,0.001,0.002,0.014,0.034,0.069,0.14,0.163,AF2,Co
7,0.051,0.047,0.001,0.003,0.015,0.036,0.074,0.149,0.172,AF3,Co
8,0.053,0.051,0.001,0.002,0.015,0.037,0.074,0.162,0.19,AF4,Co
9,0.054,0.05,0.001,0.002,0.015,0.038,0.079,0.157,0.183,AF5,Co
10,0.059,0.057,0.001,0.003,0.016,0.04,0.086,0.175,0.212,AF6,Co
11,0.036,0.034,0.001,0.002,0.011,0.026,0.053,0.103,0.123,AF7,Co
12,0.041,0.038,0.001,0.002,0.012,0.029,0.061,0.12,0.141,AF8,Co
13,0.032,0.03,0.001,0.002,0.009,0.022,0.046,0.092,0.111,AF9,Co
14,0.148,0.063,0.024,0.038,0.102,0.151,0.194,0.242,0.264,AF1,De
15,0.219,0.099,0.026,0.042,0.138,0.236,0.3,0.355,0.371,AF10,De
16,0.111,0.048,0.019,0.031,0.079,0.112,0.144,0.188,0.206,AF11,De
17,0.107,0.046,0.019,0.031,0.076,0.108,0.138,0.185,0.2,AF12,De
18,0.104,0.044,0.02,0.03,0.074,0.104,0.134,0.175,0.189,AF13,De
19,0.12,0.049,0.023,0.036,0.086,0.12,0.155,0.2,0.215,AF2,De
20,0.134,0.055,0.024,0.038,0.097,0.136,0.174,0.22,0.236,AF3,De
21,0.132,0.054,0.023,0.037,0.095,0.135,0.171,0.217,0.23,AF4,De
22,0.143,0.058,0.028,0.041,0.102,0.146,0.186,0.233,0.246,AF5,De
23,0.148,0.061,0.025,0.042,0.103,0.153,0.192,0.244,0.258,AF6,De
24,0.084,0.04,0.015,0.023,0.055,0.081,0.109,0.154,0.17,AF7,De
25,0.103,0.043,0.02,0.029,0.073,0.104,0.133,0.173,0.186,AF8,De
26,0.074,0.038,0.013,0.019,0.047,0.071,0.098,0.142,0.159,AF9,De
27,0.026,0.025,0.001,0.001,0.008,0.02,0.036,0.076,0.092,AF1,He
28,0.028,0.026,0.001,0.002,0.009,0.021,0.039,0.079,0.094,AF10,He
29,0.026,0.025,0.001,0.001,0.007,0.018,0.036,0.079,0.093,AF11,He
30,0.025,0.025,0.001,0.001,0.007,0.018,0.036,0.074,0.091,AF12,He
31,0.024,0.023,0.001,0.001,0.007,0.017,0.034,0.073,0.087,AF13,He
32,0.029,0.028,0.001,0.001,0.008,0.02,0.039,0.088,0.107,AF2,He
33,0.032,0.032,0.001,0.001,0.009,0.022,0.045,0.096,0.117,AF3,He
34,0.029,0.028,0.001,0.001,0.008,0.02,0.041,0.085,0.103,AF4,He
35,0.032,0.032,0.001,0.002,0.009,0.022,0.046,0.098,0.118,AF5,He
36,0.03,0.028,0.001,0.001,0.009,0.021,0.043,0.086,0.1,AF6,He
37,0.022,0.022,0.001,0.001,0.006,0.015,0.029,0.068,0.084,AF7,He
38,0.027,0.026,0.001,0.001,0.007,0.018,0.037,0.081,0.096,AF8,He
39,0.021,0.023,0.001,0.001,0.006,0.014,0.03,0.068,0.083,AF9,He
40,0.765,0.052,0.654,0.675,0.731,0.765,0.799,0.85,0.868,AF1,Zp
41,0.683,0.085,0.535,0.56,0.622,0.667,0.74,0.837,0.856,AF10,Zp
42,0.821,0.044,0.733,0.748,0.792,0.82,0.849,0.892,0.907,AF11,Zp
43,0.824,0.043,0.735,0.752,0.797,0.826,0.853,0.892,0.906,AF12,Zp
44,0.83,0.042,0.747,0.76,0.802,0.831,0.858,0.896,0.907,AF13,Zp
45,0.804,0.044,0.713,0.728,0.775,0.804,0.832,0.878,0.891,AF2,Zp
46,0.783,0.047,0.691,0.706,0.752,0.783,0.813,0.861,0.876,AF3,Zp
47,0.786,0.047,0.689,0.707,0.757,0.787,0.816,0.863,0.878,AF4,Zp
48,0.771,0.048,0.677,0.695,0.741,0.77,0.801,0.851,0.867,AF5,Zp
49,0.763,0.05,0.667,0.685,0.731,0.762,0.795,0.847,0.866,AF6,Zp
50,0.858,0.046,0.758,0.774,0.827,0.862,0.892,0.927,0.938,AF7,Zp
51,0.829,0.043,0.738,0.756,0.804,0.83,0.857,0.896,0.909,AF8,Zp
52,0.872,0.048,0.767,0.785,0.841,0.877,0.908,0.944,0.954,AF9,Zp
