,Mean,SD,p2.5,p5,p25,p50,p75,p95,p97.5,fish_code,source
1,0.03,0.029,0.001,0.002,0.009,0.022,0.045,0.086,0.106,CA1,Co
2,0.028,0.027,0.001,0.002,0.008,0.021,0.041,0.082,0.097,CA10,Co
3,0.037,0.041,0.001,0.001,0.008,0.023,0.051,0.118,0.148,CA11,Co
4,0.037,0.042,0.001,0.001,0.008,0.022,0.05,0.124,0.152,CA12,Co
5,0.033,0.033,0.001,0.001,0.008,0.022,0.046,0.101,0.125,CA13,Co
6,0.031,0.029,0.001,0.002,0.009,0.023,0.045,0.091,0.105,CA14,Co
7,0.036,0.042,0.001,0.001,0.008,0.021,0.05,0.122,0.155,CA15,Co
8,0.032,0.032,0.001,0.002,0.009,0.022,0.046,0.097,0.115,CA2,Co
9,0.031,0.029,0.001,0.002,0.009,0.022,0.044,0.089,0.107,CA3,Co
10,0.027,0.027,0.001,0.001,0.008,0.019,0.04,0.079,0.1,CA4,Co
11,0.033,0.036,0.001,0.001,0.007,0.02,0.045,0.105,0.132,CA5,Co
12,0.032,0.035,0.001,0.001,0.008,0.021,0.045,0.101,0.13,CA6,Co
13,0.027,0.024,0.001,0.002,0.008,0.02,0.038,0.074,0.089,CA7,Co
14,0.032,0.033,0.001,0.001,0.008,0.022,0.046,0.101,0.119,CA8,Co
15,0.034,0.035,0.001,0.001,0.008,0.022,0.048,0.107,0.128,CA9,Co
16,0.456,0.085,0.295,0.32,0.399,0.455,0.515,0.595,0.622,CA1,De
17,0.523,0.093,0.346,0.374,0.459,0.52,0.583,0.676,0.709,CA10,De
18,0.61,0.1,0.414,0.45,0.545,0.611,0.677,0.771,0.802,CA11,De
19,0.63,0.1,0.427,0.46,0.565,0.63,0.7,0.788,0.822,CA12,De
20,0.568,0.097,0.382,0.414,0.504,0.564,0.627,0.737,0.771,CA13,De
21,0.458,0.079,0.294,0.328,0.405,0.459,0.509,0.588,0.615,CA14,De
22,0.685,0.095,0.477,0.514,0.624,0.693,0.752,0.828,0.852,CA15,De
23,0.49,0.079,0.333,0.359,0.439,0.492,0.542,0.617,0.645,CA2,De
24,0.471,0.08,0.307,0.341,0.422,0.472,0.522,0.602,0.623,CA3,De
25,0.628,0.097,0.433,0.471,0.562,0.629,0.697,0.786,0.811,CA4,De
26,0.698,0.093,0.5,0.536,0.641,0.706,0.762,0.835,0.856,CA5,De
27,0.664,0.089,0.479,0.508,0.608,0.668,0.727,0.798,0.818,CA6,De
28,0.454,0.092,0.27,0.302,0.39,0.458,0.516,0.601,0.63,CA7,De
29,0.608,0.089,0.42,0.455,0.551,0.61,0.669,0.748,0.773,CA8,De
30,0.615,0.091,0.421,0.459,0.557,0.617,0.676,0.757,0.784,CA9,De
31,0.037,0.037,0.001,0.002,0.011,0.026,0.052,0.11,0.135,CA1,He
32,0.035,0.035,0.001,0.002,0.01,0.024,0.049,0.106,0.129,CA10,He
33,0.035,0.035,0.001,0.002,0.01,0.024,0.049,0.108,0.128,CA11,He
34,0.034,0.034,0.001,0.002,0.01,0.024,0.047,0.103,0.121,CA12,He
35,0.039,0.041,0.001,0.002,0.011,0.026,0.054,0.118,0.153,CA13,He
36,0.039,0.039,0.001,0.002,0.011,0.027,0.055,0.118,0.143,CA14,He
37,0.033,0.032,0.001,0.002,0.01,0.024,0.045,0.097,0.119,CA15,He
38,0.038,0.038,0.001,0.002,0.011,0.026,0.053,0.112,0.136,CA2,He
39,0.04,0.042,0.001,0.002,0.011,0.028,0.056,0.125,0.156,CA3,He
40,0.039,0.042,0.001,0.002,0.01,0.025,0.053,0.121,0.157,CA4,He
41,0.033,0.032,0.001,0.002,0.009,0.023,0.046,0.097,0.114,CA5,He
42,0.034,0.033,0.001,0.002,0.01,0.024,0.048,0.1,0.122,CA6,He
43,0.042,0.047,0.001,0.002,0.01,0.027,0.056,0.139,0.173,CA7,He
44,0.037,0.037,0.001,0.002,0.01,0.025,0.05,0.111,0.134,CA8,He
45,0.035,0.035,0.001,0.002,0.01,0.025,0.048,0.105,0.128,CA9,He
46,0.476,0.077,0.318,0.346,0.423,0.481,0.531,0.596,0.617,CA1,Zp
47,0.413,0.082,0.241,0.273,0.363,0.417,0.469,0.54,0.564,CA10,Zp
48,0.317,0.077,0.154,0.183,0.267,0.321,0.373,0.436,0.456,CA11,Zp
49,0.299,0.077,0.142,0.166,0.245,0.303,0.354,0.423,0.441,CA12,Zp
50,0.361,0.079,0.181,0.217,0.313,0.366,0.418,0.477,0.498,CA13,Zp
51,0.472,0.072,0.322,0.347,0.427,0.475,0.522,0.582,0.604,CA14,Zp
52,0.247,0.072,0.111,0.131,0.196,0.246,0.295,0.369,0.391,CA15,Zp
53,0.44,0.069,0.294,0.32,0.396,0.443,0.487,0.549,0.566,CA2,Zp
54,0.457,0.071,0.309,0.332,0.413,0.463,0.507,0.567,0.584,CA3,Zp
55,0.305,0.082,0.146,0.17,0.248,0.305,0.363,0.441,0.465,CA4,Zp
56,0.237,0.07,0.108,0.126,0.188,0.235,0.283,0.356,0.378,CA5,Zp
57,0.269,0.07,0.133,0.157,0.223,0.267,0.317,0.386,0.406,CA6,Zp
58,0.478,0.085,0.312,0.34,0.423,0.475,0.535,0.617,0.64,CA7,Zp
59,0.324,0.072,0.181,0.203,0.275,0.326,0.371,0.44,0.461,CA8,Zp
60,0.317,0.073,0.171,0.191,0.269,0.318,0.366,0.43,0.456,CA9,Zp
