,Mean,SD,p2.5,p5,p25,p50,p75,p95,p97.5,fish_code,source
1,0.111,0.109,0.001,0.003,0.024,0.074,0.17,0.322,0.391,CM1,Co
2,0.065,0.071,0.001,0.002,0.013,0.04,0.093,0.209,0.252,CM10,Co
3,0.118,0.118,0.001,0.003,0.025,0.077,0.179,0.353,0.413,CM2,Co
4,0.123,0.126,0.001,0.003,0.024,0.079,0.187,0.381,0.441,CM3,Co
5,0.128,0.214,0,0.001,0.011,0.039,0.116,0.719,0.795,CM4,Co
6,0.115,0.111,0.001,0.003,0.025,0.078,0.18,0.339,0.396,CM5,Co
7,0.075,0.084,0.001,0.002,0.015,0.044,0.102,0.256,0.298,CM6,Co
8,0.082,0.09,0.001,0.002,0.015,0.048,0.116,0.28,0.33,CM7,Co
9,0.083,0.084,0.001,0.002,0.019,0.054,0.121,0.261,0.302,CM8,Co
10,0.062,0.065,0.001,0.002,0.013,0.04,0.088,0.194,0.242,CM9,Co
11,0.346,0.151,0.037,0.077,0.244,0.355,0.449,0.588,0.634,CM1,De
12,0.25,0.153,0.005,0.014,0.125,0.254,0.357,0.495,0.546,CM10,De
13,0.351,0.154,0.036,0.073,0.254,0.359,0.455,0.593,0.644,CM2,De
14,0.453,0.175,0.067,0.129,0.346,0.466,0.578,0.715,0.771,CM3,De
15,0.722,0.243,0.03,0.078,0.666,0.796,0.881,0.961,0.974,CM4,De
16,0.254,0.132,0.02,0.041,0.16,0.253,0.342,0.468,0.522,CM5,De
17,0.169,0.118,0.006,0.013,0.078,0.153,0.24,0.38,0.444,CM6,De
18,0.183,0.122,0.008,0.018,0.089,0.165,0.255,0.404,0.462,CM7,De
19,0.234,0.128,0.018,0.037,0.136,0.234,0.322,0.449,0.482,CM8,De
20,0.152,0.102,0.005,0.012,0.072,0.14,0.217,0.335,0.376,CM9,De
21,0.075,0.085,0.001,0.002,0.015,0.045,0.107,0.25,0.3,CM1,He
22,0.071,0.095,0.001,0.001,0.011,0.035,0.09,0.268,0.336,CM10,He
23,0.069,0.082,0.001,0.002,0.014,0.04,0.094,0.234,0.286,CM2,He
24,0.076,0.087,0.001,0.003,0.015,0.047,0.105,0.253,0.31,CM3,He
25,0.034,0.042,0,0.001,0.007,0.019,0.044,0.117,0.16,CM4,He
26,0.075,0.087,0.001,0.002,0.015,0.044,0.106,0.245,0.312,CM5,He
27,0.063,0.085,0,0.001,0.01,0.031,0.078,0.237,0.315,CM6,He
28,0.066,0.089,0.001,0.001,0.011,0.032,0.085,0.251,0.32,CM7,He
29,0.076,0.09,0.001,0.002,0.013,0.043,0.104,0.267,0.335,CM8,He
30,0.062,0.082,0.001,0.001,0.01,0.031,0.08,0.228,0.304,CM9,He
31,0.468,0.122,0.209,0.26,0.391,0.473,0.55,0.664,0.701,CM1,Zp
32,0.614,0.169,0.293,0.355,0.503,0.604,0.711,0.938,0.978,CM10,Zp
33,0.463,0.128,0.2,0.246,0.381,0.465,0.546,0.67,0.699,CM2,Zp
34,0.348,0.123,0.106,0.147,0.265,0.349,0.432,0.548,0.59,CM3,Zp
35,0.116,0.081,0.008,0.015,0.055,0.1,0.164,0.269,0.309,CM4,Zp
36,0.556,0.131,0.275,0.324,0.479,0.562,0.641,0.752,0.786,CM5,Zp
37,0.693,0.156,0.341,0.429,0.597,0.701,0.803,0.936,0.961,CM6,Zp
38,0.669,0.156,0.32,0.388,0.575,0.683,0.779,0.905,0.94,CM7,Zp
39,0.607,0.142,0.316,0.37,0.516,0.607,0.698,0.841,0.883,CM8,Zp
40,0.724,0.142,0.404,0.469,0.644,0.732,0.819,0.939,0.968,CM9,Zp
