,Mean,SD,p2.5,p5,p25,p50,p75,p95,p97.5,fish_code,source
4,0.04,0.032,0.003,0.005,0.017,0.032,0.056,0.105,0.121,CU1,Co
5,0.103,0.073,0.005,0.01,0.041,0.089,0.154,0.239,0.265,CU10,Co
6,0.123,0.092,0.006,0.011,0.046,0.103,0.18,0.299,0.335,CU11,Co
7,0.119,0.085,0.006,0.01,0.047,0.105,0.178,0.273,0.304,CU12,Co
8,0.073,0.06,0.003,0.007,0.026,0.055,0.106,0.197,0.225,CU13,Co
9,0.1,0.072,0.005,0.009,0.039,0.087,0.147,0.237,0.259,CU14,Co
10,0.116,0.116,0.005,0.008,0.032,0.073,0.159,0.381,0.422,CU15,Co
11,0.102,0.075,0.005,0.009,0.04,0.085,0.152,0.242,0.271,CU2,Co
12,0.049,0.037,0.003,0.006,0.021,0.04,0.068,0.121,0.142,CU3,Co
13,0.076,0.056,0.005,0.008,0.032,0.064,0.109,0.184,0.207,CU4,Co
14,0.111,0.083,0.006,0.01,0.043,0.093,0.164,0.272,0.299,CU5,Co
15,0.095,0.077,0.005,0.009,0.035,0.074,0.135,0.254,0.288,CU6,Co
16,0.059,0.043,0.004,0.007,0.025,0.051,0.083,0.145,0.161,CU7,Co
17,0.106,0.083,0.005,0.009,0.038,0.085,0.159,0.271,0.306,CU8,Co
18,0.107,0.085,0.005,0.009,0.039,0.085,0.157,0.278,0.31,CU9,Co
22,0.067,0.038,0.009,0.015,0.04,0.062,0.088,0.138,0.156,CU1,De
23,0.187,0.084,0.024,0.044,0.127,0.19,0.25,0.317,0.339,CU10,De
24,0.227,0.101,0.025,0.049,0.154,0.237,0.304,0.377,0.399,CU11,De
25,0.239,0.104,0.026,0.047,0.165,0.25,0.316,0.396,0.415,CU12,De
26,0.119,0.06,0.016,0.027,0.074,0.116,0.16,0.221,0.243,CU13,De
27,0.15,0.072,0.018,0.031,0.095,0.152,0.2,0.268,0.291,CU14,De
28,0.224,0.122,0.018,0.035,0.131,0.215,0.308,0.436,0.466,CU15,De
29,0.207,0.093,0.024,0.043,0.138,0.216,0.277,0.344,0.37,CU2,De
30,0.08,0.042,0.013,0.019,0.05,0.076,0.105,0.156,0.173,CU3,De
31,0.144,0.066,0.021,0.034,0.097,0.144,0.19,0.253,0.274,CU4,De
32,0.251,0.108,0.03,0.052,0.176,0.262,0.33,0.414,0.439,CU5,De
33,0.154,0.073,0.018,0.032,0.1,0.154,0.207,0.272,0.295,CU6,De
34,0.094,0.048,0.013,0.023,0.057,0.09,0.125,0.178,0.195,CU7,De
35,0.169,0.079,0.021,0.037,0.11,0.175,0.226,0.293,0.311,CU8,De
36,0.184,0.084,0.024,0.04,0.122,0.189,0.246,0.315,0.337,CU9,De
40,0.019,0.023,0,0.001,0.005,0.012,0.026,0.061,0.077,CU1,He
41,0.035,0.039,0.001,0.001,0.009,0.023,0.047,0.114,0.138,CU10,He
42,0.038,0.04,0.001,0.002,0.01,0.025,0.054,0.119,0.142,CU11,He
43,0.042,0.045,0.001,0.002,0.01,0.027,0.058,0.129,0.162,CU12,He
44,0.025,0.028,0.001,0.001,0.007,0.016,0.035,0.08,0.098,CU13,He
45,0.028,0.028,0.001,0.001,0.008,0.019,0.039,0.086,0.101,CU14,He
46,0.029,0.032,0.001,0.002,0.008,0.019,0.038,0.09,0.11,CU15,He
47,0.038,0.042,0.001,0.001,0.009,0.023,0.051,0.122,0.152,CU2,He
48,0.022,0.025,0,0.001,0.005,0.014,0.029,0.071,0.09,CU3,He
49,0.032,0.034,0.001,0.001,0.008,0.02,0.043,0.101,0.123,CU4,He
50,0.044,0.049,0.001,0.002,0.01,0.027,0.06,0.147,0.181,CU5,He
51,0.033,0.037,0.001,0.001,0.008,0.02,0.045,0.103,0.134,CU6,He
52,0.024,0.026,0.001,0.001,0.006,0.015,0.032,0.074,0.093,CU7,He
53,0.033,0.035,0.001,0.002,0.009,0.021,0.043,0.107,0.128,CU8,He
54,0.033,0.035,0.001,0.001,0.009,0.022,0.046,0.101,0.124,CU9,He
58,0.873,0.051,0.753,0.778,0.845,0.88,0.909,0.944,0.953,CU1,Zp
59,0.675,0.053,0.566,0.587,0.642,0.676,0.709,0.757,0.776,CU10,Zp
60,0.612,0.06,0.486,0.509,0.575,0.614,0.651,0.707,0.723,CU11,Zp
61,0.601,0.057,0.49,0.51,0.563,0.6,0.637,0.696,0.713,CU12,Zp
62,0.782,0.063,0.639,0.669,0.745,0.789,0.825,0.871,0.886,CU13,Zp
63,0.722,0.053,0.618,0.638,0.689,0.722,0.758,0.808,0.825,CU14,Zp
64,0.631,0.104,0.419,0.444,0.554,0.646,0.717,0.773,0.788,CU15,Zp
65,0.654,0.058,0.54,0.56,0.616,0.655,0.691,0.749,0.765,CU2,Zp
66,0.849,0.051,0.735,0.758,0.82,0.854,0.884,0.923,0.937,CU3,Zp
67,0.749,0.055,0.634,0.654,0.714,0.752,0.787,0.833,0.85,CU4,Zp
68,0.594,0.065,0.458,0.484,0.551,0.597,0.637,0.695,0.716,CU5,Zp
69,0.719,0.063,0.58,0.606,0.679,0.725,0.763,0.81,0.827,CU6,Zp
70,0.824,0.054,0.712,0.733,0.791,0.826,0.86,0.91,0.925,CU7,Zp
71,0.692,0.059,0.56,0.584,0.659,0.697,0.731,0.777,0.796,CU8,Zp
72,0.675,0.06,0.538,0.566,0.641,0.681,0.716,0.761,0.782,CU9,Zp
