,Mean,SD,p2.5,p5,p25,p50,p75,p95,p97.5,fish_code,source
1,0.038,0.033,0.001,0.003,0.013,0.03,0.055,0.104,0.122,LB1,Co
2,0.051,0.048,0.002,0.003,0.017,0.038,0.071,0.149,0.177,LB10,Co
3,0.041,0.036,0.001,0.003,0.014,0.03,0.057,0.115,0.136,LB11,Co
4,0.045,0.038,0.002,0.003,0.016,0.034,0.064,0.122,0.144,LB12,Co
5,0.041,0.035,0.002,0.003,0.015,0.031,0.057,0.11,0.13,LB13,Co
6,0.047,0.041,0.002,0.003,0.016,0.036,0.067,0.13,0.152,LB14,Co
7,0.062,0.059,0.002,0.003,0.02,0.044,0.085,0.181,0.221,LB16,Co
8,0.059,0.056,0.002,0.003,0.017,0.04,0.082,0.173,0.205,LB17,Co
9,0.034,0.028,0.001,0.003,0.013,0.027,0.047,0.09,0.106,LB2,Co
10,0.058,0.053,0.002,0.003,0.018,0.042,0.083,0.166,0.188,LB3,Co
11,0.047,0.043,0.001,0.003,0.015,0.035,0.068,0.137,0.159,LB4,Co
12,0.042,0.039,0.001,0.003,0.013,0.031,0.059,0.117,0.144,LB5,Co
13,0.072,0.072,0.002,0.004,0.02,0.048,0.1,0.229,0.273,LB6,Co
14,0.062,0.06,0.002,0.004,0.017,0.042,0.087,0.191,0.224,LB7,Co
15,0.065,0.071,0.002,0.003,0.017,0.043,0.085,0.207,0.264,LB8,Co
16,0.067,0.069,0.002,0.004,0.018,0.044,0.092,0.219,0.259,LB9,Co
17,0.152,0.055,0.052,0.066,0.115,0.151,0.186,0.251,0.272,LB1,De
18,0.245,0.071,0.097,0.12,0.201,0.246,0.288,0.359,0.383,LB10,De
19,0.148,0.057,0.049,0.063,0.109,0.143,0.181,0.247,0.273,LB11,De
20,0.198,0.06,0.077,0.094,0.159,0.2,0.237,0.295,0.319,LB12,De
21,0.172,0.059,0.06,0.076,0.133,0.17,0.208,0.274,0.295,LB13,De
22,0.222,0.063,0.093,0.113,0.183,0.225,0.262,0.32,0.346,LB14,De
23,0.328,0.079,0.146,0.186,0.283,0.336,0.381,0.443,0.466,LB16,De
24,0.253,0.073,0.103,0.126,0.209,0.256,0.3,0.37,0.396,LB17,De
25,0.141,0.051,0.047,0.059,0.106,0.14,0.174,0.226,0.246,LB2,De
26,0.279,0.072,0.124,0.152,0.233,0.284,0.329,0.387,0.41,LB3,De
27,0.169,0.057,0.061,0.075,0.131,0.169,0.206,0.264,0.284,LB4,De
28,0.142,0.058,0.046,0.059,0.101,0.136,0.174,0.25,0.273,LB5,De
29,0.304,0.083,0.116,0.15,0.255,0.314,0.364,0.426,0.448,LB6,De
30,0.233,0.071,0.09,0.115,0.188,0.235,0.277,0.349,0.375,LB7,De
31,0.592,0.121,0.278,0.357,0.533,0.614,0.675,0.746,0.769,LB8,De
32,0.276,0.082,0.101,0.129,0.226,0.284,0.332,0.399,0.424,LB9,De
33,0.023,0.027,0,0.001,0.006,0.014,0.031,0.074,0.097,LB1,He
34,0.031,0.042,0.001,0.001,0.007,0.018,0.04,0.109,0.148,LB10,He
35,0.023,0.026,0,0.001,0.006,0.015,0.031,0.075,0.096,LB11,He
36,0.029,0.032,0,0.001,0.007,0.017,0.039,0.094,0.122,LB12,He
37,0.027,0.031,0,0.001,0.006,0.017,0.036,0.089,0.111,LB13,He
38,0.03,0.034,0.001,0.001,0.007,0.018,0.041,0.101,0.128,LB14,He
39,0.031,0.036,0.001,0.001,0.008,0.02,0.042,0.104,0.13,LB16,He
40,0.029,0.033,0.001,0.001,0.007,0.018,0.039,0.098,0.12,LB17,He
41,0.025,0.029,0,0.001,0.006,0.015,0.033,0.081,0.107,LB2,He
42,0.033,0.038,0.001,0.001,0.008,0.02,0.043,0.106,0.136,LB3,He
43,0.024,0.026,0.001,0.001,0.006,0.016,0.033,0.077,0.095,LB4,He
