,Mean,SD,p2.5,p5,p25,p50,p75,p95,p97.5,fish_code,source
1,0.54,0.343,0.001,0.003,0.173,0.625,0.846,0.975,0.988,LF1,Co
2,0.187,0.114,0.003,0.009,0.088,0.192,0.276,0.362,0.39,LF10,Co
3,0.206,0.121,0.004,0.011,0.104,0.219,0.3,0.384,0.414,LF11,Co
4,0.424,0.241,0.002,0.011,0.249,0.444,0.601,0.8,0.869,LF12,Co
5,0.364,0.206,0.003,0.014,0.217,0.371,0.512,0.691,0.765,LF13,Co
6,0.698,0.291,0.002,0.011,0.639,0.803,0.895,0.982,0.991,LF14,Co
7,0.357,0.251,0.002,0.006,0.146,0.336,0.537,0.813,0.891,LF15,Co
8,0.5,0.271,0.002,0.012,0.315,0.54,0.704,0.904,0.948,LF2,Co
9,0.444,0.271,0.002,0.009,0.228,0.451,0.647,0.897,0.946,LF3,Co
10,0.198,0.116,0.004,0.015,0.107,0.198,0.281,0.385,0.419,LF4,Co
11,0.199,0.113,0.006,0.013,0.11,0.202,0.281,0.379,0.416,LF5,Co
12,0.215,0.114,0.007,0.02,0.13,0.221,0.298,0.392,0.427,LF6,Co
13,0.786,0.311,0.003,0.009,0.826,0.913,0.962,0.994,0.997,LF7,Co
14,0.756,0.261,0.005,0.03,0.719,0.847,0.922,0.981,0.99,LF8,Co
15,0.17,0.104,0.003,0.008,0.083,0.172,0.247,0.33,0.367,LF9,Co
16,0.407,0.36,0.002,0.005,0.062,0.306,0.78,0.983,0.994,LF1,De
17,0.21,0.18,0.002,0.007,0.062,0.165,0.324,0.543,0.628,LF10,De
18,0.204,0.183,0.003,0.006,0.053,0.154,0.308,0.559,0.641,LF11,De
19,0.474,0.281,0.013,0.03,0.246,0.473,0.687,0.952,0.98,LF12,De
20,0.474,0.266,0.02,0.04,0.263,0.472,0.677,0.924,0.961,LF13,De
21,0.251,0.299,0.001,0.003,0.039,0.125,0.318,0.957,0.983,LF14,De
22,0.553,0.288,0.012,0.036,0.337,0.59,0.787,0.969,0.989,LF15,De
23,0.419,0.299,0.005,0.014,0.155,0.387,0.637,0.949,0.982,LF2,De
24,0.482,0.299,0.006,0.019,0.234,0.481,0.721,0.967,0.986,LF3,De
25,0.27,0.178,0.007,0.019,0.132,0.252,0.386,0.575,0.652,LF4,De
26,0.263,0.171,0.008,0.019,0.127,0.25,0.375,0.563,0.625,LF5,De
27,0.266,0.175,0.007,0.019,0.131,0.249,0.375,0.575,0.652,LF6,De
28,0.184,0.314,0,0.001,0.012,0.044,0.131,0.976,0.99,LF7,De
29,0.195,0.261,0.001,0.003,0.029,0.088,0.229,0.917,0.973,LF8,De
30,0.2,0.157,0.003,0.008,0.072,0.17,0.299,0.482,0.551,LF9,De
31,0.012,0.024,0,0,0.001,0.003,0.012,0.058,0.083,LF1,He
32,0.035,0.078,0,0,0.001,0.007,0.031,0.172,0.276,LF10,He
33,0.032,0.071,0,0,0.002,0.007,0.028,0.156,0.257,LF11,He
34,0.023,0.043,0,0,0.001,0.006,0.024,0.11,0.151,LF12,He
35,0.024,0.045,0,0,0.001,0.007,0.026,0.112,0.153,LF13,He
36,0.011,0.021,0,0,0.001,0.003,0.012,0.049,0.07,LF14,He
37,0.02,0.042,0,0,0.001,0.005,0.021,0.096,0.133,LF15,He
38,0.017,0.034,0,0,0.001,0.005,0.016,0.078,0.111,LF2,He
39,0.019,0.037,0,0,0.001,0.005,0.02,0.097,0.136,LF3,He
40,0.036,0.067,0,0,0.002,0.01,0.04,0.16,0.232,LF4,He
41,0.038,0.071,0,0,0.002,0.01,0.04,0.174,0.257,LF5,He
42,0.04,0.074,0,0,0.002,0.01,0.042,0.182,0.251,LF6,He
43,0.007,0.013,0,0,0,0.002,0.007,0.028,0.044,LF7,He
44,0.011,0.022,0,0,0.001,0.003,0.011,0.05,0.071,LF8,He
45,0.035,0.069,0,0,0.002,0.008,0.033,0.164,0.231,LF9,He
46,0.041,0.047,0,0.001,0.007,0.024,0.056,0.144,0.175,LF1,Zp
47,0.568,0.147,0.189,0.288,0.5,0.591,0.656,0.772,0.818,LF10,Zp
48,0.557,0.149,0.19,0.29,0.486,0.576,0.647,0.769,0.816,LF11,Zp
49,0.079,0.074,0.001,0.002,0.018,0.057,0.122,0.229,0.265,LF12,Zp
50,0.138,0.105,0.001,0.003,0.046,0.123,0.211,0.33,0.357,LF13,Zp
51,0.04,0.04,0,0.001,0.009,0.026,0.06,0.119,0.142,LF14,Zp
52,0.069,0.07,0,0.001,0.015,0.047,0.102,0.217,0.262,LF15,Zp
53,0.065,0.063,0,0.001,0.014,0.045,0.097,0.195,0.229,LF2,Zp
54,0.055,0.057,0,0.001,0.012,0.035,0.078,0.176,0.208,LF3,Zp
55,0.495,0.124,0.187,0.273,0.433,0.513,0.578,0.662,0.687,LF4,Zp
56,0.499,0.124,0.18,0.269,0.438,0.512,0.581,0.671,0.697,LF5,Zp
57,0.479,0.126,0.172,0.247,0.42,0.497,0.563,0.649,0.676,LF6,Zp
58,0.024,0.026,0,0,0.005,0.015,0.035,0.076,0.096,LF7,Zp
59,0.038,0.04,0,0.001,0.008,0.026,0.055,0.121,0.145,LF8,Zp
60,0.596,0.13,0.285,0.362,0.53,0.614,0.679,0.773,0.807,LF9,Zp
