id,species,sci_name,group,year,site,dist_cat,weight_.g.,total_length_.mm.,standard_length_.mm.,d13C,d15N,C.N
KIF12_237,AP.FURC,Aphareus furca,Pi,2012,8,Medium,410,354,279,-17.06,11.69,3.14
KIF12_238,AP.FURC,Aphareus furca,Pi,2012,8,Medium,500,372,284,-17.22,12.18,3.28
KIF12_239,AP.FURC,Aphareus furca,Pi,2012,8,Medium,640,402,304,-17.43,11.99,3.38
KIF12_240,AP.FURC,Aphareus furca,Pi,2012,8,Medium,510,380,320,-16.5,12.61,3.22
KIF12_176,AP.FURC,Aphareus furca,Pi,2012,30,Very High,260,298,215,-17.25,11.59,3.29
KIF12_177,AP.FURC,Aphareus furca,Pi,2012,30,Very High,200,255,202,-17.36,11.41,3.24
KIF12_203,AP.FURC,Aphareus furca,Pi,2012,30,Very High,210,251,193,-17.38,11.19,3.08
KIF12_187,AP.FURC,Aphareus furca,Pi,2012,19,Very Low,275,281,215,-17.75,11.23,3.3
KIF12_191,AP.FURC,Aphareus furca,Pi,2012,19,Very Low,420,322,249,-17.29,11.33,3.25
KIF12_192,AP.FURC,Aphareus furca,Pi,2012,19,Very Low,210,271,209,-17.66,11.06,3.26
KIF12_251,AP.FURC,Aphareus furca,Pi,2012,15,Very Low,300,310,230,-17.75,10.86,3.4
KIF12_253,AP.FURC,Aphareus furca,Pi,2012,15,Very Low,220,290,215,-17.55,10.91,3.22
KIF12_254,AP.FURC,Aphareus furca,Pi,2012,15,Very Low,230,271,218,-17.41,10.81,3.12
KIF12_316,AP.FURC,Aphareus furca,Pi,2012,15,Very Low,230,285,214.1,-18.16,11.31,3.46
KIF12_370,AP.FURC,Aphareus furca,Pi,2012,15,Very Low,270,273,204,-17.28,11.03,2.97
KIF12_371,AP.FURC,Aphareus furca,Pi,2012,15,Very Low,250,289,226,-16.95,11.13,3.13
KIF12_050,CA.MELA,Caranx melampygus,Pi,2012,8,Medium,2200,585,490,-15.39,13.19,3.3
KIF12_232,CA.MELA,Caranx melampygus,Pi,2012,8,Medium,1816,550,460,-15.89,13.13,3.02
KIF12_333,CA.MELA,Caranx melampygus,Pi,2012,8,Medium,2156.5,580,476,-15.32,13.69,3.27
KIF11_050,CA.MELA,Caranx melampygus,Pi,2011,27,Very High,263.3,272,223,-14.14,9.87,3.33
KIF11_171,CA.MELA,Caranx melampygus,Pi,2011,27,Very High,1054.9,415,320,-15.37,13.24,3.16
KIF12_197,CA.MELA,Caranx melampygus,Pi,2012,19,Very Low,1980,530,445,-16.46,11.21,3.3
KIF12_248,CA.MELA,Caranx melampygus,Pi,2012,15,Very Low,2043,573,498,-16.64,11.82,3.03
KIF12_249,CA.MELA,Caranx melampygus,Pi,2012,15,Very Low,1362,510,415,-16.61,11.91,3.02
KIF12_252,CA.MELA,Caranx melampygus,Pi,2012,15,Very Low,126.6,211,179,-17.52,12.09,3.09
KIF12_311,CA.MELA,Caranx melampygus,Pi,2012,15,Very Low,2133.8,586,496,-16.97,11.9,3.17
KIF12_312,CA.MELA,Caranx melampygus,Pi,2012,15,Very Low,3722.8,720,595,-16.69,12.15,3.02
CEPARG002,CE.ARGU,Cephalopholis argus,Pi,2010,34,Medium,242,246,205,-15.06,14.48,3.15
