year,date,site,observer,dist_cat,BM_total,BM_coral,BM_det,BM_gen,BM_herb,BM_inv,BM_omn,BM_pisc,BM_plank,AB_total,AB_coral,AB_det,AB_gen,AB_herb,AB_inv,AB_omn,AB_pisc,AB_plank
2011,23_07_2011,25,SC,Medium,54.77636667,1.469133333,6.768566667,8.4034,8.5955,9.508766667,7.912466667,7.079933333,5.0386,2919,66,24,58,97,146,49,13,2466
2011,23_07_2011,25,SMW,Medium,149.3193333,1.532866667,2.007666667,10.9657,10.50793333,8.867233333,101.4566333,9.102233333,4.879066667,1345,32,10,63,77,75,62,6,1020
2011,24_07_2011,6,SC,Medium,177.7922667,2.598666667,3.779533333,6.405966667,12.2243,132.2383,0.684266667,1.7537,18.10753333,2947,44,12,45,58,336,30,4,2418
2011,24_07_2011,6,SMW,Medium,393.9838333,2.764,3.892266667,5.432133333,23.01806667,312.5676667,8.222633333,8.311833333,29.77523333,1429,22,11,30,70,394,32,5,865
2011,24_07_2011,8,SC,Medium,76.5786,5.328333333,3.028266667,8.0086,21.2032,12.94026667,14.123,5.0844,6.862533333,4255,47,68,46,118,239,85,34,3618
2011,24_07_2011,8,SMW,Medium,103.4704333,2.512533333,2.878533333,20.036,40.12623333,26.84613333,1.839666667,0.38,8.851333333,2025,40,38,59,127,87,60,8,1606
2011,24_07_2011,14,SC,Medium,64.1542,2.102666667,0.078666667,1.355066667,26.11893333,9.6415,2.8792,6.8299,15.14826667,2233,12,14,29,75,179,24,42,1858
2011,24_07_2011,14,SMW,Medium,75.18696667,0.831733333,0.154066667,3.879933333,25.30846667,9.9286,9.1403,6.144266667,19.7996,1455,10,20,39,44,120,37,7,1178
2011,31_07_2011,34,SC,Medium,127.9881333,1.702066667,1.673833333,6.9282,36.4432,63.50773333,6.3942,3.629766667,7.709133333,3996,40,7,56,122,1259,39,17,2456
2011,31_07_2011,34,SMW,Medium,67.8514,6.658166667,5.368733333,10.15373333,17.13116667,15.41776667,3.570333333,4.012833333,5.538666667,1565,35,12,56,106,294,60,16,986
2011,31_07_2011,35,SC,Medium,76.0528,1.885066667,2.3174,9.852433333,36.31836667,9.102533333,1.471266667,3.7148,11.39093333,4856,26,52,47,209,256,44,36,4186
2011,31_07_2011,35,SMW,Medium,154.0664,3.158133333,3.5396,10.85233333,25.33593333,14.86583333,3.388366667,69.53116667,23.39503333,1868,24,32,60,88,137,51,38,1438
2013,01_08_2013,14,JLG,Medium,61.41006667,0.5558,0,0.399533333,39.79506667,16.744,1.953533333,1.014666667,0.947466667,222,6,0,8,17,24,24,7,136
2013,01_08_2013,14,SC,Medium,180.5307333,0.999133333,1.061066667,0.858866667,25.77716667,148.2192,0.345533333,2.025566667,1.2442,1108,8,4,28,79,102,62,11,814
2013,01_08_2013,35,JLG,Medium,11.70736667,0.17,0.021266667,2.818333333,5.891033333,0.656,0.0184,0,2.132333333,485,12,2,36,57,42,2,0,334
2013,01_08_2013,35,SC,Medium,35.61316667,0.165533333,0,2.547466667,22.2318,4.768633333,0.108533333,0.1838,5.6074,4286,106,0,39,66,177,14,16,3868
2013,20_07_2013,8,JLG,Medium,57.63136667,3.4233,5.112133333,5.332533333,13.59763333,3.5192,14.23586667,8.703166667,3.707533333,848,31,9,57,77,65,39,4,566
2013,20_07_2013,8,SC,Medium,72.25043333,1.354533333,4.116666667,4.623166667,35.5112,8.1156,10.37276667,0.9443,7.2122,3062,16,10,75,59,58,29,5,2810
2013,20_07_2013,34,JLG,Medium,159.6135667,2.013333333,1.624,10.96813333,29.55166667,103.6066667,2.5494,5.471033333,3.829333333,932,80,6,64,82,118,37,5,540
2013,20_07_2013,34,SC,Medium,56.31706667,2.631933333,0.183466667,8.103133333,21.7076,14.45723333,3.702,2.1147,3.417,2202,51,4,137,89,140,47,10,1724
2013,21_07_2013,25,JLG,Medium,46.8014,6.512433333,5.112,3.948933333,9.733633333,6.519033333,9.2765,2.102733333,3.596133333,1310,56,8,56,92,133,61,4,900
2013,21_07_2013,25,SC,Medium,90.81223333,0.657,11.80353333,4.256733333,42.15536667,7.782533333,13.4579,5.372766667,5.3264,5307,30,30,62,174,147,77,5,4782
2013,22_07_2013,6,JLG,Medium,73.3309,7.5158,10.71523333,1.772666667,22.30246667,16.71826667,1.387733333,4.2964,8.622333333,1103,33,16,32,65,85,33,3,836
2013,22_07_2013,6,SC,Medium,99.42923333,2.119133333,2.366933333,9.385133333,24.3087,48.8272,2.374133333,0.921533333,9.126466667,3692,42,8,62,92,161,43,2,3282
2013,22_07_2013,14,JLG,Medium,38.50963333,1.423133333,1.9168,1.162733333,11.20783333,13.93133333,2.968266667,3.612066667,2.287466667,688,8,60,10,44,56,19,11,480
2013,22_07_2013,14,SC,Medium,70.55816667,3.964,2.885266667,11.19556667,32.3092,10.36256667,0.983333333,5.5991,3.259133333,1801,31,8,45,99,81,21,16,1500
2013,28_07_2013,8,JLG,Medium,73.17436667,2.286066667,3.2886,9.957933333,38.01056667,11.97093333,1.956,0,5.704266667,1245,46,30,135,97,77,60,0,800
2013,28_07_2013,8,SC,Medium,53.2142,4.203866667,3.353933333,8.492066667,23.4431,6.544866667,0.173666667,3.931366667,3.071333333,3581,78,30,120,159,100,16,6,3072
2013,28_07_2013,34,JLG,Medium,115.1264667,9.662266667,0.576666667,5.973066667,52.66663333,8.296033333,3.649366667,30.75896667,3.543466667,1206,78,4,90,80,170,62,24,698
2013,28_07_2013,34,SC,Medium,104.6857333,5.680866667,0.307333333,6.127,23.0667,58.81323333,0.9174,6.6394,3.1338,2133,48,4,91,67,139,58,50,1676
2013,28_07_2013,35,JLG,Medium,63.309,2.000933333,2.1138,4.488433333,39.15466667,7.456733333,0.369133333,4.263433333,3.461866667,951,68,26,47,74,184,32,8,512
2013,28_07_2013,35,SC,Medium,53.1685,0.702466667,1.297133333,3.4381,19.1899,15.9215,0.872066667,8.765266667,2.982066667,2762,132,12,87,69,159,13,12,2278
2013,31_07_2013,25,JLG,Medium,50.71336667,5.062666667,0.742133333,3.220066667,18.80766667,10.7102,3.760666667,3.971233333,4.438733333,1191,13,8,76,74,111,83,10,816
2013,31_07_2013,25,SC,Medium,44.65773333,1.742266667,2.006533333,3.879,11.87303333,3.484433333,10.5929,4.5525,6.527066667,3948,50,8,57,140,134,77,14,3468
2011,23_07_2011,30,SC,Very High,57.0999,6.630866667,0.429333333,2.922,20.07156667,6.712066667,0.512033333,0.030133333,19.7919,1955,7,16,13,56,69,1,4,1789
2011,23_07_2011,30,SMW,Very High,188.0053667,10.44053333,3.617133333,14.04973333,67.0869,13.2008,23.95186667,23.5887,32.0697,1867,28,28,58,76,52,22,11,1592
2011,27_07_2011,27,SC,Very High,110.2048,6.703133333,5.844933333,1.937,50.526,18.32466667,4.446533333,1.093566667,21.32896667,2804,23,136,86,89,546,34,63,1827
2011,27_07_2011,27,SMW,Very High,204.2824,1.324333333,7.0924,3.041,118.1748,29.74086667,4.348333333,14.34686667,26.2138,3117,22,124,106,59,270,28,50,2458
2011,27_07_2011,32,SC,Very High,229.3563333,7.3614,0.6926,10.61556667,38.80353333,72.724,8.8038,21.6057,68.74973333,5582,17,76,59,119,1733,14,34,3530
2011,27_07_2011,32,SMW,Very High,196.2878667,1.993666667,4.391666667,1.9712,62.4588,36.5446,1.4854,29.24013333,58.2024,5206,14,82,28,61,813,8,32,4168
2013,01_08_2013,27,JLG,Very High,156.7229667,7.493933333,0.5482,1.429066667,99.60933333,18.22613333,5.3915,6.1498,17.875,1889,22,52,42,122,343,3,9,1296
2013,01_08_2013,27,SC,Very High,264.5452,13.76953333,0.389466667,1.878133333,213.5734333,5.949666667,1.966866667,3.873266667,23.14483333,4437,10,98,79,285,530,26,34,3375
2013,04_08_2013,30,JLG,Very High,121.8952333,4.4302,3.794866667,6.343,22.58,48.31466667,1.2064,7.948366667,27.27773333,1824,72,38,70,103,124,36,13,1368
2013,04_08_2013,30,SC,Very High,79.68483333,1.6204,3.964333333,14.7011,16.48926667,16.0838,1.5386,7.604466667,17.68286667,5095,48,21,111,82,109,16,14,4694
2013,04_08_2013,32,JLG,Very High,186.4795333,9.290666667,0.061,4.093,83.8839,39.5221,10.26096667,19.9425,19.4254,2011,22,6,86,112,858,25,13,889
2013,04_08_2013,32,SC,Very High,319.8270333,2.336466667,0.018466667,5.6708,53.26856667,21.10423333,3.134266667,6.465233333,227.829,10736,14,2,182,98,867,16,13,9544
2013,27_07_2013,27,JLG,Very High,338.4384,4.6998,1.9816,1.703066667,281.7347667,8.705466667,3.479433333,12.5588,23.57546667,1708,23,76,62,160,302,12,9,1064
2013,27_07_2013,27,SC,Very High,128.1383667,0.834533333,0.864266667,3.234033333,72.75566667,20.8498,2.7576,3.913,22.92946667,6068,58,220,265,62,657,11,15,4780
2013,27_07_2013,30,JLG,Very High,67.94056667,1.764933333,1.932933333,6.038266667,24.84393333,23.78023333,0.067866667,5.167533333,4.344866667,1227,66,30,33,153,61,4,4,876
2013,27_07_2013,30,SC,Very High,66.87496667,6.248666667,1.1724,3.051,19.7987,25.34873333,0.027733333,4.740733333,6.487,4877,38,67,76,57,132,8,12,4487
2013,31_07_2013,32,JLG,Very High,68.3394,1.9344,0.0958,3.4266,14.0134,30.34006667,5.8508,6.454466667,6.223866667,1363,64,10,160,200,300,10,8,611
2013,31_07_2013,32,SC,Very High,48.08763333,0.058466667,0.074866667,3.995133333,10.3093,8.939633333,1.026533333,7.7311,15.9526,3089,14,16,166,54,629,12,14,2184
2011,21_07_2011,10,SC,Very Low,243.3717,1.383933333,7.257033333,13.33626667,157.5968667,4.398433333,1.2309,33.55446667,24.6138,2629,18,25,28,119,36,5,32,2366
2011,29_07_2011,15,SC,Very Low,75.97183333,0.198933333,3.761666667,7.799033333,36.1339,7.021,6.980466667,3.339966667,10.73686667,2130,10,16,42,76,96,76,9,1805
2011,29_07_2011,15,SMW,Very Low,80.55146667,21.59646667,3.7542,9.970233333,23.12873333,6.410233333,3.330166667,4.846833333,7.5146,1278,31,52,24,94,48,25,6,998
2011,29_07_2011,19,SC,Very Low,213.6877,0.664066667,0.925866667,8.207766667,56.53926667,5.281566667,7.144266667,100.0346333,34.89026667,3401,8,4,62,188,67,70,18,2984
2011,29_07_2011,19,SMW,Very Low,207.5487,0.6684,0.597333333,3.467066667,30.94783333,1.686466667,5.357,143.6435333,21.18106667,1705,14,4,24,119,42,114,14,1374
2013,02_08_2013,15,JLG,Very Low,55.58323333,0.3532,1.3976,3.175266667,29.7923,3.7312,1.743466667,11.36033333,4.029866667,732,20,10,51,101,45,82,5,418
2013,02_08_2013,15,SC,Very Low,50.18053333,0.111666667,0.6902,2.9226,41.04243333,0.3996,1.778066667,1.171766667,2.0642,1532,14,6,80,124,58,92,2,1156
2013,02_08_2013,19,JLG,Very Low,33.89763333,0.3798,0.501933333,0.8572,13.9553,3.210933333,5.0306,2.784,7.177866667,870,24,4,34,94,46,144,12,512
2013,02_08_2013,19,SC,Very Low,79.75416667,2.411133333,0.833133333,1.434933333,55.32816667,0.609466667,6.674,3.220866667,9.242466667,2774,22,10,80,247,24,209,4,2178
2013,29_07_2013,15,JLG,Very Low,152.6323667,1.1154,1.766133333,1.6034,25.82256667,1.98,79.19986667,30.18326667,10.96173333,783,28,14,64,71,47,98,7,454
2013,29_07_2013,15,SC,Very Low,68.01366667,12.78283333,7.160933333,2.196,15.9894,2.1022,1.7596,22.56356667,3.459133333,1517,26,28,72,77,34,78,14,1188
2013,29_07_2013,19,JLG,Very Low,144.2757333,1.056066667,2.311533333,2.119,18.14676667,2.965633333,1.964,79.52733333,36.1854,1364,58,8,100,129,59,112,22,876
2013,29_07_2013,19,SC,Very Low,335.7593333,0.675333333,3.154666667,1.376733333,24.38926667,1.677266667,4.4878,42.38906667,257.6092,4131,38,18,50,195,53,116,21,3640
